date,Target_Flower,Google_Trend_Score
"Oct 19 – 25, 2025",tulip,48
"Oct 26 – Nov 1, 2025",tulip,44
"Nov 2 – 8, 2025",tulip,45
"Nov 9 – 15, 2025",tulip,44
"Nov 16 – 22, 2025",tulip,46
"Nov 23 – 29, 2025",tulip,47
"Nov 30 – Dec 6, 2025",tulip,51
"Dec 7 – 13, 2025",tulip,42
"Dec 14 – 20, 2025",tulip,42
"Dec 21 – 27, 2025",tulip,39
"Dec 28, 2025 – Jan 3, 2026",tulip,44
"Jan 4 – 10, 2026",tulip,46
"Jan 11 – 17, 2026",tulip,51
"Jan 18 – 24, 2026",tulip,47
"Jan 25 – 31, 2026",tulip,54
"Feb 1 – 7, 2026",tulip,60
"Feb 8 – 14, 2026",tulip,84
"Feb 15 – 21, 2026",tulip,95
"Feb 22 – 28, 2026",tulip,70
"Mar 1 – 7, 2026",tulip,65
"Mar 8 – 14, 2026",tulip,72
"Mar 2 – 8, 2025",orchid,66
"Mar 9 – 15, 2025",orchid,66
"Mar 16 – 22, 2025",orchid,69
"Mar 23 – 29, 2025",orchid,67
"Mar 30 – Apr 5, 2025",orchid,67
"Apr 6 – 12, 2025",orchid,67
"Apr 13 – 19, 2025",orchid,67
"Apr 20 – 26, 2025",orchid,68
"Apr 27 – May 3, 2025",orchid,67
"May 4 – 10, 2025",orchid,72
"May 11 – 17, 2025",orchid,74
"May 18 – 24, 2025",orchid,65
"May 25 – 31, 2025",orchid,68
"Jun 1 – 7, 2025",orchid,66
"Jun 8 – 14, 2025",orchid,65
"Jun 15 – 21, 2025",orchid,64
"Jun 22 – 28, 2025",orchid,63
"Jun 29 – Jul 5, 2025",orchid,64
"Jul 6 – 12, 2025",orchid,64
"Jul 13 – 19, 2025",orchid,65
"Jul 20 – 26, 2025",orchid,67
"Jul 27 – Aug 2, 2025",orchid,69
"Aug 3 – 9, 2025",orchid,74
"Aug 10 – 16, 2025",orchid,77
"Aug 17 – 23, 2025",orchid,74
"Aug 24 – 30, 2025",orchid,73
"Aug 31 – Sep 6, 2025",orchid,71
"Sep 7 – 13, 2025",orchid,64
"Sep 14 – 20, 2025",orchid,65
"Sep 21 – 27, 2025",orchid,70
"Sep 28 – Oct 4, 2025",orchid,69
"Oct 5 – 11, 2025",orchid,68
"Oct 12 – 18, 2025",orchid,69
"Oct 19 – 25, 2025",orchid,67
"Oct 26 – Nov 1, 2025",orchid,66
"Nov 2 – 8, 2025",orchid,67
"Nov 9 – 15, 2025",orchid,69
"Nov 16 – 22, 2025",orchid,70
"Nov 23 – 29, 2025",orchid,72
"Nov 30 – Dec 6, 2025",orchid,71
"Dec 7 – 13, 2025",orchid,71
"Dec 14 – 20, 2025",orchid,67
"Dec 21 – 27, 2025",orchid,74
"Dec 28, 2025 – Jan 3, 2026",orchid,70
"Jan 4 – 10, 2026",orchid,71
"Jan 11 – 17, 2026",orchid,73
"Jan 18 – 24, 2026",orchid,67
"Jan 25 – 31, 2026",orchid,72
"Feb 1 – 7, 2026",orchid,80
"Feb 8 – 14, 2026",orchid,100
"Feb 15 – 21, 2026",orchid,97
"Feb 22 – 28, 2026",orchid,80
"Mar 1 – 7, 2026",orchid,73
"Mar 8 – 14, 2026",orchid,79
"Mar 2 – 8, 2025",sunflower,48
"Mar 9 – 15, 2025",sunflower,49
"Mar 16 – 22, 2025",sunflower,48
"Mar 23 – 29, 2025",sunflower,49
"Mar 30 – Apr 5, 2025",sunflower,51
"Apr 6 – 12, 2025",sunflower,50
"Apr 13 – 19, 2025",sunflower,52
"Apr 20 – 26, 2025",sunflower,54
"Apr 27 – May 3, 2025",sunflower,58
"May 4 – 10, 2025",sunflower,54
"May 11 – 17, 2025",sunflower,55
"May 18 – 24, 2025",sunflower,53
"May 25 – 31, 2025",sunflower,53
"Jun 1 – 7, 2025",sunflower,58
"Jun 8 – 14, 2025",sunflower,54
"Jun 15 – 21, 2025",sunflower,56
"Jun 22 – 28, 2025",sunflower,56
"Jun 29 – Jul 5, 2025",sunflower,55
"Jul 6 – 12, 2025",sunflower,56
"Jul 13 – 19, 2025",sunflower,57
"Jul 20 – 26, 2025",sunflower,58
"Jul 27 – Aug 2, 2025",sunflower,62
"Aug 3 – 9, 2025",sunflower,68
"Aug 10 – 16, 2025",sunflower,69
"Aug 17 – 23, 2025",sunflower,66
"Aug 24 – 30, 2025",sunflower,62
"Aug 31 – Sep 6, 2025",sunflower,64
"Sep 7 – 13, 2025",sunflower,59
"Sep 14 – 20, 2025",sunflower,56
"Sep 21 – 27, 2025",sunflower,55
"Sep 28 – Oct 4, 2025",sunflower,52
"Oct 5 – 11, 2025",sunflower,52
"Oct 12 – 18, 2025",sunflower,52
"Oct 19 – 25, 2025",sunflower,50
"Oct 26 – Nov 1, 2025",sunflower,46
"Nov 2 – 8, 2025",sunflower,47
"Nov 9 – 15, 2025",sunflower,48
"Nov 16 – 22, 2025",sunflower,48
"Nov 23 – 29, 2025",sunflower,44
"Nov 30 – Dec 6, 2025",sunflower,47
"Dec 7 – 13, 2025",sunflower,45
"Dec 14 – 20, 2025",sunflower,46
"Dec 21 – 27, 2025",sunflower,44
"Dec 28, 2025 – Jan 3, 2026",sunflower,46
"Jan 4 – 10, 2026",sunflower,46
"Jan 11 – 17, 2026",sunflower,49
"Jan 18 – 24, 2026",sunflower,47
"Jan 25 – 31, 2026",sunflower,51
"Feb 1 – 7, 2026",sunflower,55
"Feb 8 – 14, 2026",sunflower,91
"Feb 15 – 21, 2026",sunflower,100
"Feb 22 – 28, 2026",sunflower,64
"Mar 1 – 7, 2026",sunflower,50
"Mar 8 – 14, 2026",sunflower,54
"Mar 2 – 8, 2025",peony,44
"Mar 9 – 15, 2025",peony,49
"Mar 16 – 22, 2025",peony,48
"Mar 23 – 29, 2025",peony,54
"Mar 30 – Apr 5, 2025",peony,57
"Apr 6 – 12, 2025",peony,59
"Apr 13 – 19, 2025",peony,62
"Apr 20 – 26, 2025",peony,75
"Apr 27 – May 3, 2025",peony,88
"May 4 – 10, 2025",peony,92
"May 11 – 17, 2025",peony,97
"May 18 – 24, 2025",peony,86
"May 25 – 31, 2025",peony,95
"Jun 1 – 7, 2025",peony,100
"Jun 8 – 14, 2025",peony,82
"Jun 15 – 21, 2025",peony,71
"Jun 22 – 28, 2025",peony,58
"Jun 29 – Jul 5, 2025",peony,54
"Jul 6 – 12, 2025",peony,53
"Jul 13 – 19, 2025",peony,47
"Jul 20 – 26, 2025",peony,46
"Jul 27 – Aug 2, 2025",peony,45
"Aug 3 – 9, 2025",peony,48
"Aug 10 – 16, 2025",peony,48
"Aug 17 – 23, 2025",peony,47
"Aug 24 – 30, 2025",peony,44
"Aug 31 – Sep 6, 2025",peony,47
"Sep 7 – 13, 2025",peony,43
"Sep 14 – 20, 2025",peony,42
"Sep 21 – 27, 2025",peony,43
"Sep 28 – Oct 4, 2025",peony,47
"Oct 5 – 11, 2025",peony,44
"Oct 12 – 18, 2025",peony,45
"Oct 19 – 25, 2025",peony,46
"Oct 26 – Nov 1, 2025",peony,41
"Nov 2 – 8, 2025",peony,45
"Nov 9 – 15, 2025",peony,48
"Nov 16 – 22, 2025",peony,44
"Nov 23 – 29, 2025",peony,45
"Nov 30 – Dec 6, 2025",peony,42
"Dec 7 – 13, 2025",peony,43
"Dec 14 – 20, 2025",peony,42
"Dec 21 – 27, 2025",peony,41
"Dec 28, 2025 – Jan 3, 2026",peony,45
"Jan 4 – 10, 2026",peony,40
"Jan 11 – 17, 2026",peony,41
"Jan 18 – 24, 2026",peony,43
"Jan 25 – 31, 2026",peony,46
"Feb 1 – 7, 2026",peony,51
"Feb 8 – 14, 2026",peony,81
"Feb 15 – 21, 2026",peony,80
"Feb 22 – 28, 2026",peony,56
"Mar 1 – 7, 2026",peony,53
"Mar 8 – 14, 2026",peony,61
"Mar 2 – 8, 2025",hydrangea,43
"Mar 9 – 15, 2025",hydrangea,51
"Mar 16 – 22, 2025",hydrangea,55
"Mar 23 – 29, 2025",hydrangea,59
"Mar 30 – Apr 5, 2025",hydrangea,66
"Apr 6 – 12, 2025",hydrangea,64
"Apr 13 – 19, 2025",hydrangea,73
"Apr 20 – 26, 2025",hydrangea,77
"Apr 27 – May 3, 2025",hydrangea,91
"May 4 – 10, 2025",hydrangea,100
"May 11 – 17, 2025",hydrangea,100
"May 18 – 24, 2025",hydrangea,82
"May 25 – 31, 2025",hydrangea,88
"Jun 1 – 7, 2025",hydrangea,83
"Jun 8 – 14, 2025",hydrangea,76
"Jun 15 – 21, 2025",hydrangea,77
"Jun 22 – 28, 2025",hydrangea,75
"Jun 29 – Jul 5, 2025",hydrangea,75
"Jul 6 – 12, 2025",hydrangea,74
"Jul 13 – 19, 2025",hydrangea,76
"Jul 20 – 26, 2025",hydrangea,72
"Jul 27 – Aug 2, 2025",hydrangea,72
"Aug 3 – 9, 2025",hydrangea,75
"Aug 10 – 16, 2025",hydrangea,68
"Aug 17 – 23, 2025",hydrangea,66
"Aug 24 – 30, 2025",hydrangea,61
"Aug 31 – Sep 6, 2025",hydrangea,57
"Sep 7 – 13, 2025",hydrangea,50
"Sep 14 – 20, 2025",hydrangea,47
"Sep 21 – 27, 2025",hydrangea,43
"Sep 28 – Oct 4, 2025",hydrangea,46
"Oct 5 – 11, 2025",hydrangea,41
"Oct 12 – 18, 2025",hydrangea,38
"Oct 19 – 25, 2025",hydrangea,35
"Oct 26 – Nov 1, 2025",hydrangea,30
"Nov 2 – 8, 2025",hydrangea,32
"Nov 9 – 15, 2025",hydrangea,31
"Nov 16 – 22, 2025",hydrangea,27
"Nov 23 – 29, 2025",hydrangea,25
"Nov 30 – Dec 6, 2025",hydrangea,23
"Dec 7 – 13, 2025",hydrangea,21
"Dec 14 – 20, 2025",hydrangea,19
"Dec 21 – 27, 2025",hydrangea,19
"Dec 28, 2025 – Jan 3, 2026",hydrangea,22
"Jan 4 – 10, 2026",hydrangea,24
"Jan 11 – 17, 2026",hydrangea,26
"Jan 18 – 24, 2026",hydrangea,26
"Jan 25 – 31, 2026",hydrangea,27
"Feb 1 – 7, 2026",hydrangea,31
"Feb 8 – 14, 2026",hydrangea,49
"Feb 15 – 21, 2026",hydrangea,55
"Feb 22 – 28, 2026",hydrangea,45
"Mar 1 – 7, 2026",hydrangea,50
"Mar 8 – 14, 2026",hydrangea,66
"Mar 2 – 8, 2025",lily,83
"Mar 9 – 15, 2025",lily,77
"Mar 16 – 22, 2025",lily,78
"Mar 23 – 29, 2025",lily,87
"Mar 30 – Apr 5, 2025",lily,85
"Apr 6 – 12, 2025",lily,77
"Apr 13 – 19, 2025",lily,74
"Apr 20 – 26, 2025",lily,80
"Apr 27 – May 3, 2025",lily,82
"May 4 – 10, 2025",lily,82
"May 11 – 17, 2025",lily,81
"May 18 – 24, 2025",lily,81
"May 25 – 31, 2025",lily,78
"Jun 1 – 7, 2025",lily,80
"Jun 8 – 14, 2025",lily,84
"Jun 15 – 21, 2025",lily,85
"Jun 22 – 28, 2025",lily,76
"Jun 29 – Jul 5, 2025",lily,83
"Jul 6 – 12, 2025",lily,79
"Jul 13 – 19, 2025",lily,74
"Jul 20 – 26, 2025",lily,73
"Jul 27 – Aug 2, 2025",lily,73
"Aug 3 – 9, 2025",lily,76
"Aug 10 – 16, 2025",lily,71
"Aug 17 – 23, 2025",lily,73
"Aug 24 – 30, 2025",lily,72
"Aug 31 – Sep 6, 2025",lily,65
"Sep 7 – 13, 2025",lily,68
"Sep 14 – 20, 2025",lily,73
"Sep 21 – 27, 2025",lily,67
"Sep 28 – Oct 4, 2025",lily,69
"Oct 5 – 11, 2025",lily,69
"Oct 12 – 18, 2025",lily,67
"Oct 19 – 25, 2025",lily,81
"Oct 26 – Nov 1, 2025",lily,100
"Nov 2 – 8, 2025",lily,93
"Nov 9 – 15, 2025",lily,79
"Nov 16 – 22, 2025",lily,76
"Nov 23 – 29, 2025",lily,77
"Nov 30 – Dec 6, 2025",lily,74
"Dec 7 – 13, 2025",lily,78
"Dec 14 – 20, 2025",lily,93
"Dec 21 – 27, 2025",lily,99
"Dec 28, 2025 – Jan 3, 2026",lily,88
"Jan 4 – 10, 2026",lily,83
"Jan 11 – 17, 2026",lily,80
"Jan 18 – 24, 2026",lily,72
"Jan 25 – 31, 2026",lily,74
"Feb 1 – 7, 2026",lily,78
"Feb 8 – 14, 2026",lily,75
"Feb 15 – 21, 2026",lily,78
"Feb 22 – 28, 2026",lily,85
"Mar 1 – 7, 2026",lily,89
"Mar 8 – 14, 2026",lily,98
"Mar 2 – 8, 2025",daisy,80
"Mar 9 – 15, 2025",daisy,72
"Mar 16 – 22, 2025",daisy,74
"Mar 23 – 29, 2025",daisy,76
"Mar 30 – Apr 5, 2025",daisy,79
"Apr 6 – 12, 2025",daisy,75
"Apr 13 – 19, 2025",daisy,75
"Apr 20 – 26, 2025",daisy,75
"Apr 27 – May 3, 2025",daisy,79
"May 4 – 10, 2025",daisy,79
"May 11 – 17, 2025",daisy,81
"May 18 – 24, 2025",daisy,79
"May 25 – 31, 2025",daisy,76
"Jun 1 – 7, 2025",daisy,75
"Jun 8 – 14, 2025",daisy,71
"Jun 15 – 21, 2025",daisy,75
"Jun 22 – 28, 2025",daisy,77
"Jun 29 – Jul 5, 2025",daisy,72
"Jul 6 – 12, 2025",daisy,71
"Jul 13 – 19, 2025",daisy,77
"Jul 20 – 26, 2025",daisy,72
"Jul 27 – Aug 2, 2025",daisy,68
"Aug 3 – 9, 2025",daisy,76
"Aug 10 – 16, 2025",daisy,74
"Aug 17 – 23, 2025",daisy,82
"Aug 24 – 30, 2025",daisy,74
"Aug 31 – Sep 6, 2025",daisy,73
"Sep 7 – 13, 2025",daisy,69
"Sep 14 – 20, 2025",daisy,69
"Sep 21 – 27, 2025",daisy,67
"Sep 28 – Oct 4, 2025",daisy,71
"Oct 5 – 11, 2025",daisy,67
"Oct 12 – 18, 2025",daisy,72
"Oct 19 – 25, 2025",daisy,70
"Oct 26 – Nov 1, 2025",daisy,73
"Nov 2 – 8, 2025",daisy,72
"Nov 9 – 15, 2025",daisy,72
"Nov 16 – 22, 2025",daisy,71
"Nov 23 – 29, 2025",daisy,71
"Nov 30 – Dec 6, 2025",daisy,72
"Dec 7 – 13, 2025",daisy,71
"Dec 14 – 20, 2025",daisy,73
"Dec 21 – 27, 2025",daisy,73
"Dec 28, 2025 – Jan 3, 2026",daisy,70
"Jan 4 – 10, 2026",daisy,68
"Jan 11 – 17, 2026",daisy,73
"Jan 18 – 24, 2026",daisy,65
"Jan 25 – 31, 2026",daisy,68
"Feb 1 – 7, 2026",daisy,73
"Feb 8 – 14, 2026",daisy,89
"Feb 15 – 21, 2026",daisy,100
"Feb 22 – 28, 2026",daisy,73
"Mar 1 – 7, 2026",daisy,70
"Mar 8 – 14, 2026",daisy,66
"Mar 2 – 8, 2025",carnation,61
"Mar 9 – 15, 2025",carnation,54
"Mar 16 – 22, 2025",carnation,54
"Mar 23 – 29, 2025",carnation,58
"Mar 30 – Apr 5, 2025",carnation,60
"Apr 6 – 12, 2025",carnation,59
"Apr 13 – 19, 2025",carnation,58
"Apr 20 – 26, 2025",carnation,61
"Apr 27 – May 3, 2025",carnation,62
"May 4 – 10, 2025",carnation,74
"May 11 – 17, 2025",carnation,71
"May 18 – 24, 2025",carnation,59
"May 25 – 31, 2025",carnation,55
"Jun 1 – 7, 2025",carnation,55
"Jun 8 – 14, 2025",carnation,57
"Jun 15 – 21, 2025",carnation,54
"Jun 22 – 28, 2025",carnation,50
"Jun 29 – Jul 5, 2025",carnation,56
"Jul 6 – 12, 2025",carnation,55
"Jul 13 – 19, 2025",carnation,51
"Jul 20 – 26, 2025",carnation,56
"Jul 27 – Aug 2, 2025",carnation,58
"Aug 3 – 9, 2025",carnation,60
"Aug 10 – 16, 2025",carnation,56
"Aug 17 – 23, 2025",carnation,51
"Aug 24 – 30, 2025",carnation,53
"Aug 31 – Sep 6, 2025",carnation,58
"Sep 7 – 13, 2025",carnation,51
"Sep 14 – 20, 2025",carnation,51
"Sep 21 – 27, 2025",carnation,54
"Sep 28 – Oct 4, 2025",carnation,56
"Oct 5 – 11, 2025",carnation,50
"Oct 12 – 18, 2025",carnation,54
"Oct 19 – 25, 2025",carnation,54
"Oct 26 – Nov 1, 2025",carnation,48
"Nov 2 – 8, 2025",carnation,48
"Nov 9 – 15, 2025",carnation,54
"Nov 16 – 22, 2025",carnation,56
"Nov 23 – 29, 2025",carnation,65
"Nov 30 – Dec 6, 2025",carnation,56
"Dec 7 – 13, 2025",carnation,63
"Dec 14 – 20, 2025",carnation,63
"Dec 21 – 27, 2025",carnation,65
"Dec 28, 2025 – Jan 3, 2026",carnation,56
"Jan 4 – 10, 2026",carnation,55
"Jan 11 – 17, 2026",carnation,55
"Jan 18 – 24, 2026",carnation,57
"Jan 25 – 31, 2026",carnation,57
"Feb 1 – 7, 2026",carnation,66
"Feb 8 – 14, 2026",carnation,100
"Feb 15 – 21, 2026",carnation,86
"Feb 22 – 28, 2026",carnation,67
"Mar 1 – 7, 2026",carnation,65
"Mar 8 – 14, 2026",carnation,70
"Mar 2 – 8, 2025",chrysanthemum,50
"Mar 9 – 15, 2025",chrysanthemum,50
"Mar 16 – 22, 2025",chrysanthemum,51
"Mar 23 – 29, 2025",chrysanthemum,53
"Mar 30 – Apr 5, 2025",chrysanthemum,57
"Apr 6 – 12, 2025",chrysanthemum,59
"Apr 13 – 19, 2025",chrysanthemum,53
"Apr 20 – 26, 2025",chrysanthemum,55
"Apr 27 – May 3, 2025",chrysanthemum,55
"May 4 – 10, 2025",chrysanthemum,59
"May 11 – 17, 2025",chrysanthemum,56
"May 18 – 24, 2025",chrysanthemum,50
"May 25 – 31, 2025",chrysanthemum,49
"Jun 1 – 7, 2025",chrysanthemum,48
"Jun 8 – 14, 2025",chrysanthemum,49
"Jun 15 – 21, 2025",chrysanthemum,50
"Jun 22 – 28, 2025",chrysanthemum,56
"Jun 29 – Jul 5, 2025",chrysanthemum,48
"Jul 6 – 12, 2025",chrysanthemum,48
"Jul 13 – 19, 2025",chrysanthemum,51
"Jul 20 – 26, 2025",chrysanthemum,56
"Jul 27 – Aug 2, 2025",chrysanthemum,58
"Aug 3 – 9, 2025",chrysanthemum,55
"Aug 10 – 16, 2025",chrysanthemum,58
"Aug 17 – 23, 2025",chrysanthemum,66
"Aug 24 – 30, 2025",chrysanthemum,58
"Aug 31 – Sep 6, 2025",chrysanthemum,65
"Sep 7 – 13, 2025",chrysanthemum,61
"Sep 14 – 20, 2025",chrysanthemum,57
"Sep 21 – 27, 2025",chrysanthemum,64
"Sep 28 – Oct 4, 2025",chrysanthemum,61
"Oct 5 – 11, 2025",chrysanthemum,57
"Oct 12 – 18, 2025",chrysanthemum,58
"Oct 19 – 25, 2025",chrysanthemum,60
"Oct 26 – Nov 1, 2025",chrysanthemum,60
"Nov 2 – 8, 2025",chrysanthemum,62
"Nov 9 – 15, 2025",chrysanthemum,59
"Nov 16 – 22, 2025",chrysanthemum,59
"Nov 23 – 29, 2025",chrysanthemum,54
"Nov 30 – Dec 6, 2025",chrysanthemum,54
"Dec 7 – 13, 2025",chrysanthemum,55
"Dec 14 – 20, 2025",chrysanthemum,51
"Dec 21 – 27, 2025",chrysanthemum,55
"Dec 28, 2025 – Jan 3, 2026",chrysanthemum,55
"Jan 4 – 10, 2026",chrysanthemum,52
"Jan 11 – 17, 2026",chrysanthemum,54
"Jan 18 – 24, 2026",chrysanthemum,57
"Jan 25 – 31, 2026",chrysanthemum,53
"Feb 1 – 7, 2026",chrysanthemum,59
"Feb 8 – 14, 2026",chrysanthemum,89
"Feb 15 – 21, 2026",chrysanthemum,100
"Feb 22 – 28, 2026",chrysanthemum,63
"Mar 1 – 7, 2026",chrysanthemum,54
"Mar 8 – 14, 2026",chrysanthemum,59
"Mar 2 – 8, 2025",lavender,53
"Mar 9 – 15, 2025",lavender,60
"Mar 16 – 22, 2025",lavender,57
"Mar 23 – 29, 2025",lavender,58
"Mar 30 – Apr 5, 2025",lavender,59
"Apr 6 – 12, 2025",lavender,59
"Apr 13 – 19, 2025",lavender,63
"Apr 20 – 26, 2025",lavender,64
"Apr 27 – May 3, 2025",lavender,68
"May 4 – 10, 2025",lavender,65
"May 11 – 17, 2025",lavender,67
"May 18 – 24, 2025",lavender,62
"May 25 – 31, 2025",lavender,64
"Jun 1 – 7, 2025",lavender,64
"Jun 8 – 14, 2025",lavender,63
"Jun 15 – 21, 2025",lavender,63
"Jun 22 – 28, 2025",lavender,66
"Jun 29 – Jul 5, 2025",lavender,66
"Jul 6 – 12, 2025",lavender,64
"Jul 13 – 19, 2025",lavender,64
"Jul 20 – 26, 2025",lavender,65
"Jul 27 – Aug 2, 2025",lavender,65
"Aug 3 – 9, 2025",lavender,63
"Aug 10 – 16, 2025",lavender,65
"Aug 17 – 23, 2025",lavender,63
"Aug 24 – 30, 2025",lavender,60
"Aug 31 – Sep 6, 2025",lavender,60
"Sep 7 – 13, 2025",lavender,58
"Sep 14 – 20, 2025",lavender,54
"Sep 21 – 27, 2025",lavender,58
"Sep 28 – Oct 4, 2025",lavender,54
"Oct 5 – 11, 2025",lavender,56
"Oct 12 – 18, 2025",lavender,54
"Oct 19 – 25, 2025",lavender,56
"Oct 26 – Nov 1, 2025",lavender,53
"Nov 2 – 8, 2025",lavender,50
"Nov 9 – 15, 2025",lavender,54
"Nov 16 – 22, 2025",lavender,53
"Nov 23 – 29, 2025",lavender,51
"Nov 30 – Dec 6, 2025",lavender,52
"Dec 7 – 13, 2025",lavender,49
"Dec 14 – 20, 2025",lavender,49
"Dec 21 – 27, 2025",lavender,49
"Dec 28, 2025 – Jan 3, 2026",lavender,53
"Jan 4 – 10, 2026",lavender,52
"Jan 11 – 17, 2026",lavender,55
"Jan 18 – 24, 2026",lavender,52
"Jan 25 – 31, 2026",lavender,57
"Feb 1 – 7, 2026",lavender,63
"Feb 8 – 14, 2026",lavender,83
"Feb 15 – 21, 2026",lavender,100
"Feb 22 – 28, 2026",lavender,63
"Mar 1 – 7, 2026",lavender,57
"Mar 8 – 14, 2026",lavender,67
"Mar 2 – 8, 2025",marigold,43
"Mar 9 – 15, 2025",marigold,44
"Mar 16 – 22, 2025",marigold,43
"Mar 23 – 29, 2025",marigold,46
"Mar 30 – Apr 5, 2025",marigold,46
"Apr 6 – 12, 2025",marigold,47
"Apr 13 – 19, 2025",marigold,48
"Apr 20 – 26, 2025",marigold,51
"Apr 27 – May 3, 2025",marigold,52
"May 4 – 10, 2025",marigold,53
"May 11 – 17, 2025",marigold,100
"May 18 – 24, 2025",marigold,52
"May 25 – 31, 2025",marigold,46
"Jun 1 – 7, 2025",marigold,48
"Jun 8 – 14, 2025",marigold,45
"Jun 15 – 21, 2025",marigold,43
"Jun 22 – 28, 2025",marigold,43
"Jun 29 – Jul 5, 2025",marigold,43
"Jul 6 – 12, 2025",marigold,40
"Jul 13 – 19, 2025",marigold,42
"Jul 20 – 26, 2025",marigold,41
"Jul 27 – Aug 2, 2025",marigold,43
"Aug 3 – 9, 2025",marigold,41
"Aug 10 – 16, 2025",marigold,45
"Aug 17 – 23, 2025",marigold,46
"Aug 24 – 30, 2025",marigold,48
"Aug 31 – Sep 6, 2025",marigold,48
"Sep 7 – 13, 2025",marigold,45
"Sep 14 – 20, 2025",marigold,45
"Sep 21 – 27, 2025",marigold,49
"Sep 28 – Oct 4, 2025",marigold,48
"Oct 5 – 11, 2025",marigold,49
"Oct 12 – 18, 2025",marigold,55
"Oct 19 – 25, 2025",marigold,58
"Oct 26 – Nov 1, 2025",marigold,64
"Nov 2 – 8, 2025",marigold,52
"Nov 9 – 15, 2025",marigold,43
"Nov 16 – 22, 2025",marigold,40
"Nov 23 – 29, 2025",marigold,86
"Nov 30 – Dec 6, 2025",marigold,38
"Dec 7 – 13, 2025",marigold,39
"Dec 14 – 20, 2025",marigold,36
"Dec 21 – 27, 2025",marigold,38
"Dec 28, 2025 – Jan 3, 2026",marigold,47
"Jan 4 – 10, 2026",marigold,41
"Jan 11 – 17, 2026",marigold,42
"Jan 18 – 24, 2026",marigold,45
"Jan 25 – 31, 2026",marigold,44
